20:30 11/09/2022	21:30 11/09/2022	gravar video aula
08:15 12/09/2022	08:17 12/09/2022	gravar dica rápida
08:24 12/09/2022	08:24 12/09/2022	gravar dica rápida
17:42 14/09/2022	18:16 14/09/2022	Projeto de Tela
23:25 14/09/2022	23:51 14/09/2022	Planejamento
09:29 15/09/2022	09:55 15/09/2022	Planejamento
14:39 20/09/2022	15:05 20/09/2022	Programando models ok
08:12 22/09/2022	09:49 22/09/2022	Views templates
14:39 22/09/2022	15:15 22/09/2022	Views templates
16:40 22/09/2022	17:50 22/09/2022	Funcionando banco
18:09 22/09/2022	18:14 22/09/2022	Funcionando banco
15:18 23/09/2022	15:30 23/09/2022	bug resolvido, banco criado
15:46 23/09/2022	16:15 23/09/2022	aula
23:08 23/09/2022	23:50 23/09/2022	Nao Git funciona?
08:37 24/09/2022	09:02 24/09/2022	Git funciona
09:02 24/09/2022	09:33 24/09/2022	Lista Tarefa
09:47 24/09/2022
